source,route,lap,annotation,orig_idx,label_heuristic,label_supervised,split_heuristic,split_supervised
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,2,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,2,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,Bache,,2,1,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,Bache,,2,1,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
artificial,49A-11S-2026-03-21_22-49-30-3b,ride,,,0,0,unused,train
